Name,EIN,Tax Class/Subsection,Shorthand,Type,Sub-Type,Parent Org,Website,Mission/Description,Network Founder,People,Street Address,City,State,Zip Code,General Contact Email,Org Phone,Location Scope,Methods,Category of Work,Funder Type,FLAG FOR REVIEW,Reason for flag/review,Self-Identified Ideology,Goals,Network Membership,Organization does not exist,Organization does not meet criteria for inclusion,Notes about not meeting criteria,Latitude,Longitude,Goal Created by AI
Project Transformation North Texas,752930405,,,,,,,,,,,Dallas,TX,75225,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.7762719,-96.7968559,
Senior Citizens of Greater Dallas,751085555,,,,,,,,,,,Dallas,TX,75219,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.7762719,-96.7968559,
Statefuneral for World War II Veterans,82-1730871,501(c)(3),,Practitioner Organization,,,https://worldwar2salute.org/,"At State Funeral for World War II Veterans, we aim to create a groundswell of petitions to the President to designate a single state funeral for the last Congressional Medal of Honor recipient, honoring your family’s story and the nation's love and respect for America’s Greatest Generation.",,,6116 N Central Expy,Dallas,TX,75206,bill@worldwar2salute.org,,National,"Communications,Lobbying,Narrative Storytelling",Civic Education / Learning,,,,,Patriotic Values,,,,,32.7762719,-96.7968559,
Texas Alliance for Retired Americans,,,,Other,,Alliance for Retired Americans,https://texas.retiredamericans.org/,"TARA seeks to educate, mobilize and activate people of all ages who wish to defend and extend the right to retire! We welcome union and Community members.",,,"ATU Local 1338, 1111 Empire Central Place",Dallas,TX,75247,,,,Advocacy,Civic Associations,,,,,"Economic Advocacy/Justice/Reform,Civic Forums for Discussion of Public Issues",,,,,,,
This Is Project Texas,86-2739274,501(c)(3),,Practitioner Organization,,,https://www.thisisprojecttexas.org/,"Project Texas is a nonpartisan effort launched to advance statewide voter education & access, empower community engagement, and to promote the general welfare of all current and future residents of Texas.",,Kendall Joseph,2211 N Carroll Ave,Dallas,TX,75204,impact@thisisprojecttexas.org,,State - single,"Deliberation,Dialogue,Cross-sector collaboration",Voter Engagement,,,,,Voter Engagement/Registration/Education,,,,,32.7762719,-96.7968559,
Veteran Women's Enterprise Center,822665373,,,,,,,,,,,Dallas,TX,75223,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.7762719,-96.7968559,
Volunteernow,75-1364145,501(c)(3),,Practitioner Organization,,,https://www.volnow.org/,"VolunteerNow unites people with heart and empowers them with ideas, goods, and community so that together we can create the change we want to see in the world.  ",,Rachel Currie Triska,2800 Live Oak St,Dallas,TX,75204,info@volnow.org,(214) 826-6767,National,"Service and Volunteerism,Professional Training,Youth Engagement",Service & Volunteerism,,,,,"Service & Volunteerism,Community Engagement and Community Building",,,,,32.7762719,-96.7968559,
White Rock Center of Hope,75-2248813,501(c)(3),,Practitioner Organization,,,https://whiterockcenterofhope.org/,White Rock Center of Hope cultivates hope through basic needs and personalized empowerment.,,Greg Smith,PO Box 180358,Dallas,TX,75218,,(214) 324-8996,Community/Local - single,"Food Justice and Access,Funding,Professional Training,Education","Civic Associations,Service & Volunteerism",,,,,"Service & Volunteerism,Community Engagement and Community Building",,,,,32.7762719,-96.7968559,
Woodmen of the World Life Insurance Society,23-7630154,501(c)(8),,Practitioner Organization,Chapter,,,,,,1026 S Bishop Ave,Dallas,TX,75208,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.7762719,-96.7968559,
Woodmen of the World Life Insurance Society,23-7630328,501(c)(8),,Practitioner Organization,Chapter,,,,,,3837 Mount Washington St,Dallas,TX,75211,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.7762719,-96.7968559,
Dawg Days of Dawson,88-3451449,501(c)(3),,Practitioner Organization,,,https://www.facebook.com/DawwgDays/,Dawg Days of Dawson is a 501c3 charity to help raise funds for improvements to the small town park.,,,201 Oakridge Ln,Dawson,TX,76639,DawgDaysofDawson@gmail.com,,Community/Local - single,"Service and Volunteerism,Communications,Funding,Cross-sector collaboration,Community-Building / Networking",Civic Associations,,,,,"Community Engagement and Community Building,Service & Volunteerism",,,,,31.8940478,-96.7147127,
Tree Folks,74-2569827,501(c)(3),,Practitioner Organization,,,https://www.treefolks.org/,TreeFolks empowers Central Texans to build stronger communities by planting and caring for trees.,,Andrew Smiley,PO Box 1395,Del Valle,TX,78617,admin@treefolks.org,(512) 443-5323,State - single,"Education,Service and Volunteerism",Civic Associations,,,,,"Environmental Protection through Stakeholder and Citizen Engagement,Community Engagement and Community Building",,,,,NA,NA,
Chisholm Trail Retired Senior Volunteer Program INC,751959671,,,,,,,,,,,Denton,TX,76207,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,33.2150386,-97.1330516,
FEMA - Region VI,720564834,,,,,,,,,,,Denton,TX,76209,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,33.2150386,-97.1330516,
League of Women Voters of Denton  ,75-6056666,501(c)(3),,Practitioner Organization,Chapter,,https://lwvdt.clubexpress.com/content.aspx,"Mission
Empowering voters. Defending democracy.

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.

Value
We believe in the power of women to create a more perfect democracy.",,Janice K Johnson,PO Box 2544,Denton,TX,76202,webservices@lwvdenton.org,,Community/Local - single,"Advocacy,Organizing",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Diversity & Inclusion,Electoral Reform",,,,,33.2150386,-97.1330516,
University of North Texas,756002149,,,,,,,,,,,Denton,TX,76203,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,33.2150386,-97.1330516,
United Way of Moore County,75-0917766,501(c)(3),,Practitioner Organization,Chapter,,,"United Way of Moore County, Inc. strives to improve lives and give hope to Moore County residents through the collaboration of skills, expertise, and resources of donors, volunteers, agencies, and the community.",,,PO Box 923,Dumas,TX,79029,,,,,,,,chapter organization to be batched;,,,,,,,,,
Woodmen of the World Life Insurance Society,23-7630191,501(c)(8),,Practitioner Organization,Chapter,,,,,,19778 FM 102,Eagle Lake,TX,77434,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.5895382,-96.331239,
"HILDAGO, COUNTY OF",742234352,,,,,,,,,,,Edinburg,TX,78541,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,26.3013982,-98.1624501,
The University of Texas Rio Grande Valley,465292740,,,,,,,,,,,Edinburg,TX,78539,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,26.3013982,-98.1624501,
Alliance of Border Collaboratives (ABC),271747560,,,,,,,,,,,El Paso,TX,79905,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,31.7601164,-106.4870404,
Centro de Salud Familiar La Fe,741842169,,,,,,,,,,,El Paso,TX,79902,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,31.7601164,-106.4870404,
El Paso County,746000762,,,,,,,,,,,El Paso,TX,79901,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,31.7601164,-106.4870404,
El Paso Independent School District Education Foundation,746000769,,,,,,,,,,,El Paso,TX,79902,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,31.7601164,-106.4870404,
"El Paso, City of",746000749,,,,,,,,,,,El Paso,TX,79901,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,31.7601164,-106.4870404,
El Pasoans Fighting Hunger Food Bank,452893839,,,,,,,,,,,El Paso,TX,79927,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,31.7601164,-106.4870404,
"Join Us For Justice, The El Paso Chapter of Americans United (Join Us for Justice)",46-0814927,501(c)(3),Join Us for Justice,Practitioner Organization,Chapter,,https://joinusforjustice.org/home,"An El Paso, Texas-based, non-profit, non-denominational organization formed to educate the public about the dangers of faith-based legislation and the consequences of breaching the line between church and state, and to serve as a contact for those who seek information and expertise regarding separation issues.",,,230 Thunderbird Dr.,El Paso,TX,79912,,(915) 525-8543,Community/Local - single,"Dialogue,Education,Advocacy",Organizing & Advocacy,,,,,"Civil and Political Rights,Interfaith Organizing/Engagement",,,,,31.7601164,-106.4870404,
League of Women Voters of El Paso,74-6082458,501(c)(3),,Practitioner Organization,Chapter,,https://www.lwvep.org/,"Mission
Empowering voters. Defending democracy.

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.

Value
We believe in the power of women to create a more perfect democracy.",,,10525 Texwood Ave,El Paso,TX,79925,lwvep@lwvep.org,,Community/Local - single,"Advocacy,Membership",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Diversity & Inclusion",,,,,31.7601164,-106.4870404,
United Way of El Paso County,741291051,,,,,,,,,,,El Paso,TX,79901,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,31.7601164,-106.4870404,
Woodmen of the World Life Insurance Society,85-0259675,501(c)(8),,Practitioner Organization,Chapter,,,,,,6846 Alto Rey Ave Apt A,El Paso,TX,79912,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,31.7601164,-106.4870404,
Woodmen of the World Life Insurance Society,74-2002657,501(c)(8),,Practitioner Organization,Chapter,,,,,,6846 Alto Rey Ave Apt A,El Paso,TX,79912,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,31.7601164,-106.4870404,
Simsboro Aquifer Water Defense Fund Inc (SAWDF),81-2991757,501(c)(3),SAWDF,Practitioner Organization,,,https://www.simsborowaterdefensefund.org/,"The mission of the Simsboro Aquifer Water Defense Fund (SAWDF) is to take action to protect and conserve the Carrizo-Wilcox Aquifer in central Texas, as well as the rivers, streams and springs that are nurtured by it, and to defend the rights of those who live over the aquifer and who seek to leave a legacy of sustainable water resources for future Texans.",,,PO BOX 931,ELGIN,TX,78621,info@SimsboroWaterDefenseFund.org,(512) 461-3179,,"Education,Advocacy,Organizing",Organizing & Advocacy,,,,,Environmental Protection through Stakeholder and Citizen Engagement,,,,,30.3495084,-97.371118,
Woodmen of the World Life Insurance Society,23-7630179,501(c)(8),,Practitioner Organization,Chapter,,,,,,11199 Hunters Trl,Flint,TX,75762,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.2031228,-95.3489561,
AB Christian Learning Center,270141151,,,,,,,,,,,Fort Worth,TX,76112,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.753177,-97.3327459,
"CLC,",752866735,,,,,,,,,,,Fort Worth,TX,76108,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.753177,-97.3327459,
Crystal Mason the Fight Against Voter Suppression,84-4476891,501(c)(3),,Practitioner Organization,,,https://www.crystalmasonthefight.org/,"Crystal Mason was arrested and thrown in jail for casting a provisional ballot. It’s evident that voter suppression is real and impacting black Americans across the country. Together, we will fight back and protect our right to vote.",,Crystal Mason,PO Box 40986,Fort Worth,TX,76140,CrystalMasonTheFight@gmail.com,(469) 459-3399,"""State - multiple, not region-specific""","Education,Service and Volunteerism",Electoral Reform,,,,,Election Protection,,,,,32.753177,-97.3327459,
Friends of Oakhurst Park (FOOP),81-2505419,501(c)(3),FOOP,Practitioner Organization,,,http://www.friendsofoakhurstpark.org/,"Friends of Oakhurst Park (FOOP) is a grassroots organization formed to maintain our City of Fort Worth neighborhood park when the City adopted policy to no longer irrigate our neighborhood park and to only mow once every three weeds. 

 The mission of Friends of Oakhurst Park (FOOP) is to maintain, promote, and protect Oakhurst Park in perpetuity.",,,1805 Bluebonnet Dr,Fort Worth,TX,76111,friendsofoakhurstpark@gmail.com,(817) 312-4240,Community/Local - single,,Civic Associations,,,,,"Community Engagement and Community Building,Service & Volunteerism",,,,,32.753177,-97.3327459,
Guardianship Services,752739419,,,,,,,,,,,Fort Worth,TX,76104,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.753177,-97.3327459,
League of Women Voters of Tarrant County,75-6035698,501(c)(3),,Practitioner Organization,Chapter,,https://www.lwvtarrantcounty.org/,"Mission
Empowering Voters. Defending Democracy.

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.  

Value
We believe in the power of women to create a more perfect democracy.",,,PO Box 100175,Fort Worth,TX,76185,lwvtarrant@gmail.com,(817) 348-8683,Community/Local - single,"Education,Advocacy,Communications",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Diversity & Inclusion",,,,,32.753177,-97.3327459,
"Welman Project, The",811116926,,,,,,,,,,,Fort Worth,TX,76110,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.753177,-97.3327459,
