"","Name","City","State","Zip","EIN","Source","Goals","Category of Work","Methods","Focus Areas","lat","long"
"351","Catholic Charities of Tennessee, Incorporated","Nashville","TN","37214","620679520","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",36.1622767,-86.7742984
"352","Catholic Charities of The Diocese of Joliet, Inc.","Crest Hill","IL","60403","362170817","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",41.554753,-88.0986709
"353","Catholic Charities of the Diocese of Albany","Ilion","NY","13357","161189791","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",43.0150703,-75.0354347
"354","Catholic Charities of the Diocese of Fort Wayne South Bend, Inc.","Fort Wayne","IN","46802","351038653","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Healthy Futures",41.0799898,-85.1386015
"355","Catholic Charities of the Diocese of Houma-Thibodaux","Houma","LA","70360","720812566","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",29.5957696,-90.7195348
"356","Catholic Charities of the Diocese of Winona-Rochester","Winona","MN","55987","410721636","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Environmental Stewardship; Healthy Futures",44.0500054,-91.6392294
"357","Catholic Human Services, Inc.","Traverse City","MI","49686","383198322","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",44.7606481,-85.6165976
"358","Cattaraugus County","Olean","NY","14760","166002555","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures; Veterans and Military Families",42.0775022,-78.4298248
"359","Cecil County, Maryland","Elkton","MD","21921","526000919","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",39.6065073,-75.8330934
"360","Cedar Crest Camp","Lyles","TN","37098","62-0528600","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environment",35.9197867,-87.3450119
"361","Centennial Parkside Community Development Corporation","Philadelphia","PA","19104","474815728","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",39.9527237,-75.1635262
"362","Center for Black Women's Wellness","Atlanta","GA","30312","582212203","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",33.7489924,-84.3902644
"363","Center for Community Action","Everett","PA","15537","251701123","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures; Veterans and Military Families",40.0114711,-78.3733484
"364","Center for Community Alternatives","Syracuse","NY","13202","161395992","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",43.0481221,-76.1474244
"365","Center for Disability & Elder Law","Chicago","IL","60606","363203809","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",41.8755616,-87.6244212
"366","Center for Employment Opportunities, Inc.","New York","NY","10004","133843322","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",40.7127281,-74.0060152
"367","Center for Family Life in Sunset Park, Inc.","Brooklyn","NY","11232","851058164","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",40.6526006,-73.9497211
"368","Center for Family Services Inc","Camden","NJ","08103","223669704","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Environmental Stewardship; Healthy Futures",39.9448402,-75.1198911
"369","Center for Interfaith Cooperation","Indianapolis","IN","46208","275336996","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",39.7683331,-86.1583502
"370","Center for Supportive Communities Inc","Lawrence","KS","66044","872792121","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",38.9719137,-95.2359403
"371","Center of Concern","Des Plaines","IL","60016","362984360","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",42.0415823,-87.8873916
"372","Center on Rural Innovation, Inc","Hartland","VT","05048","824508477","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",43.5408824,-72.3990809
"373","Central Alabama Redevelopment Alliance","Hueytown","AL","35023","852312833","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",33.4512197,-86.9966606
"374","Central Berkshire Habitat for Humanity, Inc","Pittsfield","MA","01201","043157085","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",42.4484778,-73.2541069
"375","Central City Neighborhood Partners","Los Angeles","CA","90017","954837709","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",34.0536909,-118.242766
"376","Central County United Way","Hemet","CA","92543","956006645","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",33.7475203,-116.9719684
"377","Central Kentucky Community Action Council, Incorporated","Lebanon","KY","40033","610662971","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures; Veterans and Military Families",37.5697869,-85.2527381
"378","Central Mississippi Continuum of Care","Jackson","MS","39204","811055150","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",32.2998686,-90.1830408
"379","Central Missouri Community Action","Columbia","MO","65203","430835026","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",38.951883,-92.3337366
"380","Centro de Salud Familiar La Fe, Inc.","El Paso","TX","79902","741842169","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",31.7601164,-106.4870404
"381","Change is Collective","Memphis","TN","38103","823372081","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",35.1460249,-90.0517638
"382","Chaves County Joy Centers Inc.","Roswell","NM","88201","850304401","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",33.3943282,-104.5229518
"383","Chaves County Retired Senior Volunteer Foundation, Inc.","Roswell","NM","88203","850429630","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship; Healthy Futures; Veterans and Military Families",33.3943282,-104.5229518
"384","Chelan-Douglas County Community Action Council","Wenatchee","WA","98801","916064514","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",47.4234599,-120.310349
"385","Cherokee County Health Services Council","Tahlequah","OK","74464","731574782","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",35.91537,-94.969956
"386","Cherokee Nation","Tahlequah","OK","74464","730757033","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",35.91537,-94.969956
"387","Cherry Street Services, Inc.","Grand Rapids","MI","49503","382853534","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",42.9632425,-85.6678639
"388","Chesapeake Bay Trust","Annapolis","MD","21403","521454182","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",38.9786401,-76.492786
"389","Chicago Cultural Performing Arts and Media Alliance","Chicago","IL","60639","824045402","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",41.8755616,-87.6244212
"390","Chicago Heightening Opportunity and Potential for Educational Success","Chicago","IL","60661","274360899","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",41.8755616,-87.6244212
"391","Chicago, City of","Chicago","IL","60602","366005820","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",41.8755616,-87.6244212
"392","Chico State Enterprises","Chico","CA","95928","680386518","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",39.7284945,-121.8374777
"393","Child & Family Services of Eastern Virginia, Inc. d/b/a The Up Center","Norfolk","VA","23510","540674774","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",36.8448348,-76.2863999
"394","Child Abuse Prevention Association","Independence","MO","64055","431067711","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",39.0924792,-94.4137923
"395","Child Abuse Prevention Council of Sacramento","North Highlands","CA","95660","942833431","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Healthy Futures",38.6857362,-121.3721745
"396","Child and Family Services of Northwestern Michigan, Inc","Traverse City","MI","49684","382534222","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Economic Opportunity; Environmental Stewardship; Healthy Futures",44.7606481,-85.6165976
"397","ChildFund International USA","Henrico","VA","23294","540536100","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",37.4957023,-77.335257
"398","Children's Aid Society, The","New York","NY","10027","135562191","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",40.7127281,-74.0060152
"399","Children's Beach House, Inc.","Wilmington","DE","19801","510070966","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.7459468,-75.546589
"400","Children's Friend and Service","Providence","RI","02903","050258819","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",41.8239891,-71.4128343
"401","Children's Village, The","Dobbs Ferry","NY","10522","131739945","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",41.0145418,-73.872635
"402","Chinle Chapter","Chinle","AZ","86503","860717453","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures",36.1621322,-109.581273
"403","Chisholm Trail Retired Senior Volunteer Program INC","Denton","TX","76207","751959671","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",33.2150386,-97.1330516
"404","Christian Faith Centre, Inc","Wichita","KS","67211","260011043","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",37.6922361,-97.3375448
"405","Circles of Troup County, Inc.","LaGrange","GA","30241","861924547","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",33.039291,-85.0313269
"406","Citizens For Citizens Inc","Fall River","MA","02724","046134724","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Healthy Futures",41.7010642,-71.1546367
"407","Citizens for The Dev Disabled","Raton","NM","87740","850284013","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",36.8979234,-104.4354816
"408","Citrus County Florida","Inverness","FL","34450","596000548","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",28.8358176,-82.3303715
"409","City Of Las Vegas","Las Vegas","NV","89101","886000198","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",36.1672559,-115.148516
"410","City of Alamogordo","Alamogordo","NM","88310","856000099","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",32.8998822,-105.9602081
"411","City of Albuquerque","Albuquerque","NM","87102","856000102","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",35.0841034,-106.650985
